,true_class,pred_class,pred_prob,prob_AGN,prob_CV,prob_HMXB,prob_LMXB,prob_PULSAR,prob_STAR,prob_ULX,prob_YSO
2CXO J203800.7+423956,YSO,YSO,0.9996716972775627,0.00015880977070483954,4.989388229049501e-07,1.84365100066471e-05,2.744333912921825e-07,4.315854490634415e-07,0.00014926372737253144,5.877566901866729e-07,0.9996716972775627
2CXO J110850.9-762513,STAR,STAR,0.9969917007564719,0.0028371831705537027,5.538185311222496e-06,4.017948242235042e-05,9.557915733630274e-06,6.0665608621648647e-05,0.9969917007564719,7.923439008575867e-06,4.725144187713897e-05
2CXO J232538.4+000847,AGN,AGN,0.999620910870308,0.999620910870308,5.188391557633964e-06,0.0003432317605475099,6.954379684695546e-07,1.1509063379018778e-06,1.5669787381539464e-05,9.772750335568462e-06,3.3800955630270125e-06
2CXO J122254.1+154912,ULX,ULX,0.9931355173251593,0.0024550996102049036,0.0010934635546187067,0.0011284193771817974,0.00030016033257310604,0.0003423803104355044,0.0013759594650467146,0.9931355173251593,0.00016900002478003804
2CXO J111003.7-763329,STAR,STAR,0.9993665782587614,0.0002464267353914041,2.4615601314961075e-05,0.00018763894577517173,1.0387484573588663e-05,4.991350776227423e-05,0.9993665782587614,2.3174033996871906e-05,9.12654324243435e-05
2CXO J140301.3+542133,HMXB,HMXB,0.9999129262783745,3.30600635569518e-05,4.893274924077764e-06,0.9999129262783745,3.053329708365518e-07,7.37100186117872e-06,2.5464637658216728e-05,1.4736974888568463e-05,1.2424357656079348e-06
2CXO J004255.2+412046,CV,CV,0.9992473918897665,8.77330650440171e-05,0.9992473918897665,0.00027808401419157966,8.255790991142207e-06,3.071359762425624e-06,4.2728516528847006e-05,0.0003260827342488614,6.652629466652939e-06
2CXO J120200.7-185318,HMXB,HMXB,0.8775371611954679,0.06072873026366269,0.0005306137333779563,0.8775371611954679,0.000894653998037562,0.00024189669560228466,0.05908823752291761,0.00044856278812928667,0.0005301438028047533
2CXO J003739.3-334323,HMXB,HMXB,0.980606031621855,0.0016164148676056853,0.0005442911793900321,0.980606031621855,1.4495631677624271e-05,1.3779760749937937e-05,0.0003150396618661972,0.01687371781530325,1.6229461551913286e-05
2CXO J161245.6+511816,AGN,AGN,0.999984558138667,0.999984558138667,1.7198550910970258e-06,3.090934954315722e-06,2.8225174853462604e-07,3.4241969986778746e-07,7.662787351617513e-06,7.090924705689277e-07,1.6345200169942015e-06
2CXO J174825.8-291218,YSO,YSO,0.9425580583853044,0.0002294686858413449,0.022565585041544458,0.0004559230826976993,3.169338541000114e-05,2.4302375323010053e-05,0.03408758074916116,4.738829471791379e-05,0.9425580583853044
2CXO J181810.5-165744,YSO,YSO,0.9991214577507126,0.0001556486220683697,3.7150736948558704e-05,6.0076040571369336e-05,8.200796363629183e-05,0.00012085464733173134,0.000412770420730734,1.0033818000265102e-05,0.9991214577507126
2CXO J095631.0+694220,HMXB,HMXB,0.8689592050291153,0.12590055253184887,0.00036414474180863557,0.8689592050291153,3.357367529916071e-05,0.0006572132891966751,0.001036228552827481,0.0028949056519242686,0.00015417652797977368
2CXO J123346.2+130905,AGN,AGN,0.9999684285403984,0.9999684285403984,6.773024652605681e-07,5.1830899877298e-06,3.738068854192773e-07,4.383211119059904e-07,1.027355586266816e-05,1.3110435422005362e-05,1.5149478666825083e-06
2CXO J161109.5+535807,AGN,AGN,0.9998299549934506,0.9998299549934506,4.373472758308525e-06,0.0001057438577555482,9.694933825213368e-07,1.574032166221596e-06,4.2036367565098145e-05,1.0964905096224823e-05,4.382877825694071e-06
2CXO J173203.0+611751,AGN,AGN,0.9999819005283637,0.9999819005283637,5.724037620141354e-07,3.371450958981892e-06,2.602273587942071e-07,3.290978220773029e-07,4.219338980770099e-06,7.630006098550174e-06,1.7169466553022768e-06
2CXO J144300.6+520137,AGN,AGN,0.9994918749394518,0.9994918749394518,0.00021105521594660652,0.00015572644685075035,2.3833722826617512e-06,2.9965744270311813e-06,5.3953743836487884e-05,7.231182511546046e-05,9.697882088885564e-06
2CXO J103031.6+052455,AGN,AGN,0.9999302962581411,0.9999302962581411,2.5392897840909783e-06,4.8937712703571116e-05,6.023116931459083e-07,7.908965451892699e-07,1.1709159031279169e-05,2.3581290326015266e-06,2.766243069079772e-06
2CXO J104536.9-595537,YSO,YSO,0.9998502300366032,9.771051686664841e-06,3.0455237973006803e-07,6.289618257568561e-05,1.901230212986352e-07,6.230195145832614e-07,6.762516353299932e-05,8.359870685822085e-06,0.9998502300366032
2CXO J050436.0-662416,AGN,AGN,0.9995110673747103,0.9995110673747103,4.096101434079761e-06,7.24839780599001e-05,3.4829656761397807e-06,1.6526859720138986e-05,0.0003759968580780575,8.591705510891117e-06,7.754156810054637e-06
2CXO J104811.7+591046,AGN,AGN,0.9998613544793673,0.9998613544793673,7.990493628926792e-05,1.2035934714834857e-05,6.654051162665319e-07,7.791182705729096e-07,1.0069042537600967e-05,3.252008947008448e-05,2.6709942339041044e-06
2CXO J010702.1+005541,AGN,AGN,0.9999336074596702,0.9999336074596702,1.5082528618860247e-05,8.043586811720195e-06,4.905500406218563e-07,8.285557888217947e-07,1.4422210517568393e-05,2.5060970798403035e-05,2.4641377536972634e-06
2CXO J112833.1+583343,ULX,HMXB,0.43504468980222005,0.06307922355833417,0.05565297758345316,0.43504468980222005,0.0007669169317447197,0.002670688125631325,0.09196105870394751,0.345541232379901,0.005283212914768112
2CXO J170545.6-410417,STAR,STAR,0.9998534229924153,2.060561291100002e-05,2.2377500402139013e-05,7.384969219067072e-05,1.2330009841619072e-06,1.164991118245289e-05,0.9998534229924153,3.1534614597169236e-06,1.3707828454735981e-05
2CXO J161702.8-225834,CV,CV,0.9075241406373984,0.004880100701441955,0.9075241406373984,0.021281336926331853,0.0003017084189718013,0.0558827069010143,0.0023643005025485195,0.007604889232373498,0.00016081667991956367
2CXO J095244.4-461647,STAR,STAR,0.9996926153938761,2.5856895216569576e-05,7.060254337134425e-06,0.00025341340028600337,1.6106208638231342e-06,3.02159944390461e-06,0.9996926153938761,9.670804024926824e-06,6.751031951641626e-06
2CXO J061756.9+781607,AGN,AGN,0.9985244427137554,0.9985244427137554,3.830864960486074e-05,0.0002516283426335064,1.4166239164475846e-05,0.00047052547215877834,0.0003811875465997539,0.0002780493988814764,4.16916372016949e-05
2CXO J172440.4-341206,STAR,STAR,0.9860015528894526,9.7387207151687e-05,0.012053337316821343,0.000774181035457252,4.752905344785309e-05,3.558665860837369e-05,0.9860015528894526,3.367605301955673e-05,0.0009567497860414303
2CXO J181826.3-164558,YSO,YSO,0.999310055673175,1.093094237345038e-05,0.0003659037136601968,1.447469372178835e-05,7.145380025377979e-07,8.67575137546725e-06,0.0002875165463729543,1.7281413186455848e-06,0.999310055673175
2CXO J073737.0+653200,HMXB,HMXB,0.9857403248088089,0.001498809249229419,2.3470474327841487e-05,0.9857403248088089,3.337562685063573e-06,1.1868676683605377e-05,4.8937964643213164e-05,0.012664362531633111,8.888731989124323e-06
2CXO J104228.0+262141,AGN,AGN,0.9998516245682326,0.9998516245682326,8.0553869507177e-07,3.6874298716332335e-06,4.776186182411506e-07,6.906567040509211e-07,0.00013083505512172643,9.979102998004133e-06,1.9000297584066563e-06
2CXO J171927.2+273245,AGN,AGN,0.9999669279438033,0.9999669279438033,9.258406906765013e-06,4.4657565338544244e-06,8.060315595132033e-07,6.269790289271452e-07,1.4642667522840566e-05,1.1972569614171258e-06,2.0749576833265117e-06
2CXO J110709.2-771846,STAR,STAR,0.9914506949169063,0.0005067846804667093,3.254598732101861e-05,0.0038524952033092484,0.00019645939504025993,1.1688137113841657e-05,0.9914506949169063,0.0039029800017666982,4.635167807593068e-05
2CXO J100228.6+024901,AGN,AGN,0.9945505424465081,0.9945505424465081,8.435856927034467e-05,0.0028304807408057377,1.8502634920531437e-05,2.5054060611241924e-05,0.00048105830360237683,0.0019516692117280833,5.833403255327903e-05
2CXO J133515.2+375838,AGN,AGN,0.999887353382249,0.999887353382249,1.042251029711317e-06,0.0001024345415495272,2.773355072910305e-07,3.957430156414439e-07,6.381412355749822e-06,9.927845739036811e-07,1.1225497190592566e-06
2CXO J053511.5-044634,STAR,STAR,0.9999737998055795,6.6442833072338435e-06,5.798242979489413e-07,6.749952164358008e-06,4.2251054943986646e-07,7.464209766603129e-06,0.9999737998055795,1.1744083027948832e-06,3.1650060319866123e-06
2CXO J075814.4-604332,STAR,STAR,0.9999667103966756,4.718464501330722e-06,2.1376176657787537e-06,2.127354710190521e-05,3.5641894518687436e-07,9.95209162387077e-07,0.9999667103966756,1.3789634854492754e-06,2.4293824622446795e-06
2CXO J124321.8-024254,STAR,STAR,0.9999424649119217,3.967031752155795e-05,2.95017619544362e-06,6.240379157750686e-06,1.080733777773302e-06,1.3061513119575343e-06,0.9999424649119217,3.2596904311802173e-06,3.0276396828212944e-06
2CXO J053619.5-064414,STAR,STAR,0.9999597003337862,1.1401259988713514e-05,1.0973015678466106e-06,1.656376307769215e-05,3.0132601983725702e-06,8.462243300248686e-07,0.9999597003337862,2.1022419413140417e-06,5.27561511003781e-06
2CXO J104613.4+585941,AGN,AGN,0.9912532358331151,0.9912532358331151,0.00031716326453178723,0.005090969418275902,1.1843235601223779e-05,1.4158825238496918e-05,0.00016666025774688355,0.0030981983970963835,4.777076839416841e-05
2CXO J025449.4+414550,AGN,AGN,0.9963259904630912,0.9963259904630912,0.00012130938429833186,0.0027032208301990776,1.529768936817101e-05,4.336888081951888e-05,0.00022477464835323838,0.0005438109846528509,2.2227119217345515e-05
2CXO J064055.1+093318,STAR,STAR,0.9948843426237132,0.0004822260116903621,0.00019360908158476642,0.00015181653436917297,1.2832607824162596e-05,2.3348715325887964e-05,0.9948843426237132,6.893068319205832e-05,0.004182893742300434
2CXO J125055.2-015556,AGN,AGN,0.9998971997687186,0.9998971997687186,1.204016304804151e-06,7.12986397344798e-06,5.450247880045227e-07,7.559882770929465e-07,3.950690537009027e-05,5.0053818311545577e-05,3.604614256208344e-06
2CXO J123704.1+620754,AGN,AGN,0.9998195672373181,0.9998195672373181,6.9797870799018045e-06,4.164657363049843e-05,1.7662631362371182e-06,7.185217774392145e-06,4.34483938934426e-05,7.231349745632479e-05,7.093029711195411e-06
2CXO J203125.8+412838,YSO,YSO,0.9998865859255996,1.1006993660763528e-05,5.223994646925628e-07,3.096365917921786e-06,6.811881234675762e-07,8.559518473957196e-07,9.623567516577849e-05,1.0155002203233656e-06,0.9998865859255996
2CXO J192414.7+501519,STAR,STAR,0.9999335002318894,9.0541011632365e-06,1.3329681612152412e-06,5.120726525611103e-05,4.720139637276922e-07,6.448346052046185e-07,0.9999335002318894,1.8802922901890224e-06,1.9082926708293345e-06
2CXO J033204.7-274614,AGN,AGN,0.9960788266847936,0.9960788266847936,6.688711964068761e-05,0.00016053636776098553,4.0527483695145875e-06,6.200880978752536e-05,0.00030623121676715155,0.0032963572324716853,2.509982040875242e-05
2CXO J101108.3+002908,AGN,AGN,0.9999636462236817,0.9999636462236817,3.3335193403008473e-06,4.800638918038869e-06,3.72785670195677e-07,5.254542158265728e-07,6.015959988326007e-06,1.982308522170199e-05,1.4823329638038627e-06
2CXO J203907.4+422055,YSO,YSO,0.9999017468463193,3.0418199538139645e-05,1.057199029696578e-06,8.02447031441383e-06,2.6108976044966173e-07,1.2758522852037453e-06,5.641164098276399e-05,8.047017700712555e-07,0.9999017468463193
2CXO J053514.4-052502,STAR,STAR,0.999877947423321,1.8392374134549824e-05,4.121996811055478e-05,3.628649599478227e-05,6.986149107696552e-06,8.851298685718891e-06,0.999877947423321,6.033259081503125e-06,4.283031564057115e-06
2CXO J203418.7+412502,YSO,YSO,0.9999543930833018,2.6255852587033086e-05,1.801375436207666e-07,7.960967750152136e-06,1.1264778529168958e-07,2.3236645315111357e-07,1.0009339628154275e-05,8.55604950776282e-07,0.9999543930833018
2CXO J104515.2-595729,YSO,YSO,0.998967498147825,0.00022650207458320082,1.7586372320447385e-06,4.5401635147670496e-05,1.2525169837807915e-06,2.959148854599734e-06,0.0007441989491372207,1.04288902364256e-05,0.998967498147825
2CXO J140246.4+542151,HMXB,HMXB,0.9988707777735687,4.142923774920284e-05,4.61558088051657e-06,0.9988707777735687,2.9400586415723436e-07,7.392898051974666e-07,6.056530248777346e-06,0.0010748911819762198,1.1963999072486337e-06
2CXO J015757.7+374822,STAR,STAR,0.9999772505973437,7.094632597796616e-06,1.1314982956950297e-06,1.1161256755697138e-05,3.0451599554290265e-07,7.715173889552128e-07,0.9999772505973437,1.0140035675006527e-06,1.2719780551794153e-06
2CXO J230033.4+585246,STAR,STAR,0.9998079136613336,6.227471698577806e-05,2.5441852418058125e-05,7.782268988460009e-05,1.876260838036179e-06,2.555735996907369e-06,0.9998079136613336,6.11272769729975e-06,1.6002354845597913e-05
2CXO J064108.9+094601,STAR,STAR,0.999906182025837,1.216995482393442e-05,3.501841397006218e-06,6.425477100670528e-05,5.88897807059618e-07,1.124111508717381e-06,0.999906182025837,1.793703921977431e-06,1.0384693697683544e-05
2CXO J095914.8+014245,AGN,AGN,0.9987104924988817,0.9987104924988817,2.3408137016901938e-05,0.0004866065913411044,3.7145221592287728e-06,1.4703967638951282e-05,0.00025197534505981166,0.0004943225276877371,1.477641021465281e-05
2CXO J123625.3+621405,STAR,STAR,0.9245165470214097,0.0037512679189382952,0.0017062623088265826,0.06724686711690406,7.824672448620388e-05,0.00011027393968887819,0.9245165470214097,0.002365533713322228,0.0002250012564239101
2CXO J100047.7+023551,AGN,AGN,0.9912395052373437,0.9912395052373437,4.567611518679466e-05,0.007724196924017553,1.6575068403176166e-05,2.04462514732181e-05,0.0004848494925174622,0.0004026281486818829,6.61227623762843e-05
2CXO J004243.9+411755,CV,CV,0.9835725496510143,0.0011236089477835796,0.9835725496510143,0.002577510242336707,0.00010596496589250554,6.222567775578245e-05,0.009473875082401405,0.0030032489944046403,8.10164384114064e-05
2CXO J140158.4+542042,HMXB,HMXB,0.9743867276280718,0.025598367800792884,6.015259105916038e-07,0.9743867276280718,3.0742467559310544e-07,1.4381833328004194e-06,7.2103989964511185e-06,4.101568727714748e-06,1.2454694919528517e-06
2CXO J005605.5-722159,STAR,STAR,0.5707453978217878,0.0019518699558155937,0.002612986195657275,0.4238095380020336,4.8358559296523944e-05,0.0003769015400557454,0.5707453978217878,0.00018267694443932855,0.00027227098091427946
2CXO J121526.3+361944,HMXB,HMXB,0.9966821795387164,0.002067075998765864,0.00014093254144170294,0.9966821795387164,3.718808941369023e-06,6.33898289891357e-06,7.604973884042888e-05,0.0010087702496263333,1.493414076884659e-05
2CXO J044535.0-591412,HMXB,HMXB,0.9700659730195422,0.001637091675393618,0.000702898621712049,0.9700659730195422,6.3382911148584405e-06,2.0948285622867924e-05,7.713684891700023e-05,0.027477648680339823,1.1964577357584231e-05
2CXO J172529.1-342515,STAR,STAR,0.9999004354474842,1.1072638857863836e-05,1.7209704815390283e-05,5.577020890624765e-05,6.249211515080877e-07,3.375955169472089e-06,0.9999004354474842,1.6883028264351336e-06,9.82282078892327e-06
2CXO J053508.5-052517,STAR,STAR,0.9999345199646035,4.843345655995654e-05,1.2158864097200852e-06,9.364556536172226e-06,4.691670867618649e-07,2.5530449557741276e-06,0.9999345199646035,1.0147037178086215e-06,2.429220130336428e-06
2CXO J203228.4+412017,YSO,YSO,0.9998573202172011,5.35662736795199e-06,3.7313834959303425e-07,1.7733220966832677e-06,1.6952037029876132e-07,3.7532115714365474e-07,0.0001342929017139399,3.389517433960366e-07,0.9998573202172011
2CXO J134423.9-002846,AGN,AGN,0.9994344799975265,0.9994344799975265,2.757999893298073e-05,0.00013117490049937013,3.1525197113608063e-06,5.835019536163095e-06,4.171248314092038e-05,0.0003433059757727563,1.2759104879753361e-05
2CXO J053523.1-051343,STAR,STAR,0.999968945750324,1.1279526958401123e-05,3.832594164470238e-06,6.4101082334823365e-06,6.662213892669369e-07,1.607932739435498e-06,0.999968945750324,1.6669955164278828e-06,5.590870674574971e-06
2CXO J133956.3-313820,HMXB,ULX,0.7000971748566372,0.005791855733376742,0.0858200932514177,0.17207846368207283,0.0006064808706436843,0.001386445152733519,0.03390170297408384,0.7000971748566372,0.0003177834790343942
2CXO J053527.0-064548,STAR,STAR,0.9999515307208826,1.9836764541336566e-05,2.6015391368326644e-06,1.1467778261256854e-05,1.1024067278460523e-06,2.107245412844826e-06,0.9999515307208826,1.7983986761409353e-06,9.555146361356366e-06
2CXO J051408.3+005632,AGN,AGN,0.994567360099132,0.994567360099132,2.1632594815497582e-06,0.00012501969901470477,5.559540520360033e-06,1.3006881207593785e-05,0.00526385649094676,1.6909002860793986e-05,6.125026836027829e-06
2CXO J172534.8-342430,YSO,YSO,0.9998151794405468,6.314915172696237e-06,1.0270479407835577e-05,3.320093163994289e-05,4.505331382845145e-07,1.2999054896911868e-05,0.00011972435248213104,1.8602927152822372e-06,0.9998151794405468
2CXO J142623.7+440705,AGN,AGN,0.9999852252312208,0.9999852252312208,1.2993019116039068e-06,1.5823238585431612e-06,2.780804005089852e-07,3.8080015483225196e-07,9.369514370573439e-06,5.997785523104322e-07,1.264969531031793e-06
2CXO J174839.3-310051,STAR,STAR,0.9997663738475938,1.5014020729423917e-05,7.733784550054602e-06,0.00015485287876930992,1.2706424423470027e-06,1.8073347010562633e-05,0.9997663738475938,2.7481180425072952e-06,3.3933360861956746e-05
2CXO J064043.2+094601,STAR,STAR,0.9999671888340247,9.261966619850273e-06,5.572163747397627e-07,1.674177516596285e-05,2.906870454993385e-07,2.988210149381906e-07,0.9999671888340247,9.31780449576295e-07,4.728919304750595e-06
2CXO J130650.2-460956,STAR,STAR,0.9999196563606544,1.6930309511242647e-05,4.228178197147609e-05,9.026383485402726e-06,3.8636169089647396e-07,8.933320297611465e-06,0.9999196563606544,1.2283902596208575e-06,1.5570921293427934e-06
2CXO J172601.2-341254,YSO,YSO,0.9964679703389347,0.0001284705258523251,7.417615906225015e-05,0.0018300736440440867,1.0181362596184477e-05,0.0001272336323462551,0.0013400738162974188,2.182052086664672e-05,0.9964679703389347
2CXO J124156.1+323210,HMXB,HMXB,0.999588923991216,7.54177489986538e-05,3.870090068017088e-06,0.999588923991216,5.80834466222221e-07,1.1958806287227883e-05,0.00016067291159586614,0.00015625495389252295,2.320663475470774e-06
2CXO J053524.6-051909,STAR,STAR,0.9999789342553499,7.65719190123458e-06,2.7289964659748085e-06,4.163446991969139e-06,3.974357273529836e-07,1.7825634588855944e-06,0.9999789342553499,2.108639797788466e-06,2.2274703068443465e-06
2CXO J121545.8+362137,HMXB,HMXB,0.9922576017543708,0.00704022911412351,6.642710970771584e-06,0.9922576017543708,8.656747835790751e-07,1.4190190134760661e-06,2.3090014432431965e-05,0.0006662437295465192,3.907982759227631e-06
2CXO J015301.7-134630,ULX,AGN,0.9126728757934133,0.9126728757934133,0.00048683769995174506,0.00493623738013889,5.187419690480544e-05,7.127453812623694e-05,0.002727050741809062,0.07882946827248967,0.00022438137716635919
2CXO J043125.1+645154,AGN,HMXB,0.8586439472992233,0.024475751631756817,0.005222766061622386,0.8586439472992233,0.0032839093699873383,0.006247329700684115,0.05884785773686629,0.042664328946389656,0.0006141092534700639
2CXO J180928.4-241402,YSO,YSO,0.9996899598590795,4.66880108577526e-05,6.9666155791520435e-06,7.5653105065810816e-06,7.568681061397898e-07,3.1698828362915783e-06,0.0002432037742459424,1.6896787885998141e-06,0.9996899598590795
2CXO J022712.9+615139,STAR,STAR,0.999736563942814,1.734001324302557e-05,2.0339547146420177e-06,0.00013956742701668444,1.1683113818470562e-06,2.0961425445765528e-06,0.999736563942814,6.531826601403118e-06,9.469838168371945e-05
2CXO J232632.7+002040,AGN,AGN,0.9998423120475483,0.9998423120475483,7.875317775034566e-07,0.000146771528283176,2.9630969169966936e-07,1.0579907353213673e-06,5.5429102786527966e-06,1.9444734287634794e-06,1.2872082565319056e-06
2CXO J100514.1-074251,LMXB,LMXB,0.9999601198439828,2.4374861018302074e-05,4.0482837097531274e-06,9.491192202604358e-06,0.9999601198439828,2.304251935129407e-07,1.0887513840678172e-06,4.913625703415508e-07,1.5527993842992289e-07
2CXO J121529.5+142841,AGN,AGN,0.9999829960266216,0.9999829960266216,4.47822028153834e-07,3.518923841733482e-06,2.740542456828977e-07,3.2249987834450727e-07,5.605840692221262e-06,5.085299698293866e-06,1.7495329938348118e-06
2CXO J001500.6-391218,HMXB,HMXB,0.992436894708465,0.0033080319912248213,0.0015084823402849166,0.992436894708465,7.4431428394806175e-06,1.758180195080712e-05,0.0015014779727541886,0.0012045242027678088,1.5563839712813392e-05
2CXO J140320.5+541632,HMXB,HMXB,0.9997078158666105,0.00025334369031478586,2.316377177170293e-06,0.9997078158666105,4.422465448820303e-07,6.647500187016216e-07,5.453016162950416e-06,2.8868928982667432e-05,1.0951241883012902e-06
2CXO J215345.4+624057,STAR,STAR,0.999925930724593,9.977804260963701e-06,4.811277648966452e-06,4.829929477887215e-05,7.408764951825468e-07,5.469556974328705e-06,0.999925930724593,1.7647719929013914e-06,3.005693255772647e-06
2CXO J194327.5+232622,YSO,YSO,0.9996329276162177,1.165306695397253e-05,9.630400922382137e-07,3.84643894464202e-06,4.2981669131451194e-07,1.4732131526641435e-06,0.0003479642469581739,7.425609893690149e-07,0.9996329276162177
2CXO J103732.4-583831,YSO,STAR,0.9989981120594827,6.572131417392436e-05,1.305034245063562e-05,0.00020796281846955023,3.145391972113468e-06,8.862549126732493e-06,0.9989981120594827,9.822928737371797e-06,0.0006933225955868268
2CXO J173303.4-293902,STAR,STAR,0.9999732349475456,4.071720187786574e-06,1.3121589096890245e-06,1.76037365624106e-05,3.173539641020105e-07,6.267331469200002e-07,0.9999732349475456,6.757093292560733e-07,2.1576403542280466e-06
2CXO J150234.8-413425,STAR,STAR,0.9998461822619029,1.8234448973059236e-05,7.442564184793925e-06,0.00010743476905069993,1.2087949293234756e-06,8.767207983390844e-06,0.9998461822619029,5.871986367323884e-06,4.857966608448904e-06
2CXO J141429.9-002309,AGN,AGN,0.9997154948432188,0.9997154948432188,5.979380221245107e-05,1.7874396908720214e-05,3.7408553570345215e-05,8.08572343923258e-06,4.136666381438626e-05,0.00011420234870987245,5.773668126280778e-06
2CXO J220602.6+293002,AGN,AGN,0.8627720717679768,0.8627720717679768,0.0064202297996393395,0.06545146823421938,0.0004998579505447392,0.003629398525002094,0.053658874891973386,0.006037818277302222,0.0015302805533422173
2CXO J205122.6+442108,STAR,STAR,0.9703452689973631,0.00028648618913194895,1.4563268624382377e-05,0.0001360232620937759,6.981022786138183e-06,5.841152716566522e-05,0.9703452689973631,3.1815023507224805e-05,0.02912045070932789
2CXO J131539.3+420153,ULX,HMXB,0.7789508711050932,0.00011043868300361466,4.261085540713372e-06,0.7789508711050932,7.393358522551956e-07,1.7071538238152519e-06,1.2816116501897761e-05,0.22091617398656574,2.9925336186805727e-06
2CXO J203310.1+405903,YSO,YSO,0.9998759708658598,5.84150696065344e-06,3.132378835464061e-07,1.6928487256603528e-06,1.8509283057690596e-07,6.266444951353904e-07,0.0001133128483810963,2.056954863588952e-06,0.9998759708658598
2CXO J010701.4-172745,AGN,AGN,0.9997156662688705,0.9997156662688705,4.891314898339734e-06,8.669950650881746e-05,1.3144298939217476e-06,3.2000687834004336e-06,6.99566792050633e-05,0.00011265829477285725,5.613437067142468e-06
2CXO J064044.5+094812,STAR,STAR,0.9997949499199769,2.1131634662677526e-05,8.155060834177977e-06,2.418267365614957e-05,6.212152357301644e-07,0.00014035826328295223,0.9997949499199769,3.1933946517102583e-06,7.407837699522181e-06
2CXO J171226.7-383011,YSO,YSO,0.9998021952931182,5.5506884112588444e-06,2.71640591370664e-06,1.1161745444934466e-05,3.1548336471591944e-07,1.4029748754482074e-05,0.0001626829217387008,1.347713253876401e-06,0.9998021952931182
2CXO J022800.9+003944,AGN,AGN,0.943200667296024,0.943200667296024,4.955952841148713e-05,0.0006595149765696021,1.2590854578931528e-05,4.358615401124868e-05,0.0006771884707286708,0.05530225832963989,5.463439003613285e-05
2CXO J175113.5-201214,AGN,YSO,0.9988921376021763,0.00016512299953110095,5.2985713354202345e-06,0.0005144554781193288,4.766557131758199e-06,5.101829208141733e-06,0.00040639093815540207,6.7260243424483515e-06,0.9988921376021763
